aoa,mach,CL,CD,Cm
0.0,5.0,4.2523119927030875,1.61127746141955,-10.355806243322137
0.0,6.0,3.982982663555418,1.438187923146539,-9.640487985206383
0.0,7.0,3.809677895240268,1.3307314437832054,-9.181355033763404
0.0,8.0,3.6913518930647373,1.2593500213249473,-8.868324552803365
1.0,5.0,4.761082778507771,1.8203887951511117,-11.651451872987012
1.0,6.0,4.461149510319465,1.6387841089665651,-10.855049842310965
1.0,7.0,4.267677745797827,1.5261262087332288,-10.342857520914073
1.0,8.0,4.135120429886999,1.451339498458352,-9.99265664875563
2.0,5.0,5.270167062030606,2.0535906489087647,-12.964961838421717
2.0,6.0,4.940471489800098,1.8624569311918802,-12.089039414103153
2.0,7.0,4.727475495728909,1.7439444057717204,-11.52507553994818
2.0,8.0,4.581191670283765,1.6652949780146349,-11.138760941074334
3.0,5.0,5.779708180926593,2.3110834686690978,-14.298540187999302
3.0,6.0,5.421229044257238,2.109426958728976,-13.344917950741324
3.0,7.0,5.189492276296488,1.9844271341410262,-12.730755907293094
3.0,8.0,5.030127409089186,1.9014770083990753,-12.309680118567552
4.0,5.0,6.289756608245586,2.5930998325541648,-15.654188588139714
4.0,6.0,5.903574525555913,2.3799512845599544,-14.624859857621459
4.0,7.0,5.65398550038656,2.247858455377489,-13.962275453161608
4.0,8.0,5.482287669401043,2.1601960549508887,-13.507999190553777
5.0,5.0,6.8002788779063215,2.899900650246886,-17.033732392635486
5.0,6.0,6.387542455463201,2.6743161432966303,-15.930781022298016
5.0,7.0,6.1210620051809705,2.534554975489162,-15.221676562931608
5.0,8.0,5.93784789619002,2.441799010048122,-14.735891090071746
6.0,5.0,7.311168704895024,3.2317740584903327,-18.438855810312198
6.0,6.0,6.8730605974882035,2.9928310646745557,-17.26436902000242
6.0,7.0,6.590691637797009,2.8448570701563183,-16.51070302362511
6.0,8.0,6.396816264725366,2.746657673332818,-15.995161302039849
