aoa,mach,CL,CD,Cm
0.0,5.0,4.252186910196384,1.6104858435399294,-10.353690818881207
0.0,6.0,3.982843534481889,1.4374263414369304,-9.638369013838872
0.0,7.0,3.8095261820789807,1.3299868771042298,-9.179217090891374
0.0,8.0,3.6911897453423608,1.2586162193504395,-8.866165885829819
1.0,5.0,4.760993903671508,1.8195819549303485,-11.649372003467567
1.0,6.0,4.461049595815593,1.6380090292147806,-10.85298130920524
1.0,7.0,4.267567024668328,1.5253687042584743,-10.34077738702768
1.0,8.0,4.135000580004731,1.4505929482163757,-9.99056034176128
2.0,5.0,5.2701153582447855,2.0527690143735624,-12.962914515427437
2.0,6.0,4.94041245949114,1.8616695604482867,-12.087022333605908
2.0,7.0,4.727407742968376,1.7431755018639326,-11.523055904772376
2.0,8.0,4.581116258521699,1.6645374071073642,-11.136730609730884
3.0,5.0,5.779693733506363,2.3102469061800055,-14.29651832929204
3.0,6.0,5.421211937836267,2.1086282869769994,-13.342950974000347
3.0,7.0,5.189468881989473,1.9836482582457442,-12.728797569391467
3.0,8.0,5.030097988837054,1.900710079753237,-12.307717662027379
4.0,5.0,6.289778387953887,2.592247201846924,-15.652179102291317
4.0,6.0,5.903599731605347,2.379141908445372,-14.622938706064302
4.0,7.0,5.654007293530327,2.2470708072915406,-13.960377055567374
4.0,8.0,5.482305254336145,2.159421272935853,-13.506104650717786
5.0,5.0,6.800333983506667,2.899028863482353,-17.031711450956166
5.0,6.0,6.387609514848917,2.6734959775682348,-15.928897147984145
5.0,7.0,6.12112916255322,2.533759356619337,-15.219833876902252
5.0,8.0,5.937912913375708,2.441017592402593,-14.73406217219571
6.0,5.0,7.311250143448335,3.2308754021088926,-18.436775201765773
6.0,6.0,6.873167815405626,2.991998806112116,-17.262507019865797
6.0,7.0,6.5908035141231105,2.8440536069187616,-16.508907698809967
6.0,8.0,6.396928458252546,2.745870358465555,-15.993392561575066
