Design_ID,Generation,Timestamp,X1,X2,X3,X4,Volume,CL/CD,CL_min,Volume_min,Success,Eval_Time_s
77,4,2026-01-23 01:33:33,0.0445790697560236,0.5285892632600216,0.3002738541344567,0.0623495791498756,3.294596132723007,4.097747349491312,-0.7683646740704024,3.294596132723007,True,0.0
101,6,2026-01-23 01:33:55,0.1483102915146092,0.009967388230376,0.1811059779442388,0.0340738325925055,3.9176156765260544,4.091696166788716,-0.5581930611038359,3.9176156765260544,True,0.0
141,8,2026-01-23 01:34:19,0.1702080548286509,0.0014995185767996,0.0885619978099165,0.0637089061068396,4.420109728110364,1.0103212687023562,-0.0937974200538678,4.420109728110364,True,0.0
144,8,2026-01-23 01:34:19,0.1323034130364947,0.0044843283810932,0.1913239260572002,0.0649351432313394,4.103821397380024,4.091687458130649,-0.5333139711129811,4.103821397380024,True,0.0
147,8,2026-01-23 01:34:19,0.1480054754469696,0.01054252604764,0.1815923810990785,0.0340738325925055,4.119916536741618,4.090636877182952,-0.5582470745689607,4.119916536741618,True,0.0
150,8,2026-01-23 01:34:19,0.1483102915146092,0.009967388230376,0.1913955116062596,0.0340738325925055,3.904282233526287,4.093013377145122,-0.5530778443459476,3.904282233526287,True,0.0
151,8,2026-01-23 01:34:19,0.1483102915146092,0.009967388230376,0.1918787496343746,0.0340738325925055,4.122723212325577,4.090567988522484,-0.5528137195089435,4.122723212325577,True,0.0
153,8,2026-01-23 01:34:19,0.1354053239191699,0.0100321122677219,0.1913239260572002,0.0649351432313394,4.1283517138116,4.090450352691826,-0.5360730704740668,4.1283517138116,True,0.0
165,9,2026-01-23 01:34:31,0.1341105753172437,0.009967388230376,0.1806227399161238,0.0340738325925055,4.243788928970405,4.087536674358648,-0.5583982160963843,4.243788928970405,True,0.0
182,10,2026-01-23 01:34:44,0.1702080548286509,0.0018461562761784,0.0885619978099165,0.0637089061068396,4.419383407658633,1.067619832628375,-0.0746745070240566,4.419383407658633,True,0.0
184,10,2026-01-23 01:34:44,0.147620330971827,0.0014733375279188,0.0885619978099165,0.0370083364483968,4.410193464122912,4.083767451852953,-0.6020405388685648,4.410193464122912,True,0.0
187,10,2026-01-23 01:34:44,0.1481060198694516,0.0014634957309159,0.0921418487669977,0.0372091459405743,4.183228357600048,4.088606069249356,-0.6000103363790688,4.183228357600048,True,0.0
190,10,2026-01-23 01:34:44,0.1474994478788769,0.0098333997327937,0.0885619978099165,0.0637089061068396,4.320965786348468,4.087527872217918,-0.5911362301697809,4.320965786348468,True,0.0
197,10,2026-01-23 01:34:44,0.1341105753172437,0.009967388230376,0.1806227399161238,0.0340738325925055,4.387009052650042,4.084494987242483,-0.5583982160963843,4.387009052650042,True,0.0
200,10,2026-01-23 01:34:44,0.1314665759292051,0.009967388230376,0.181091196209245,0.0358889860197347,4.182130392078967,4.088630085594959,-0.5571721668869052,4.182130392078967,True,0.0
